regressors,tau,C_tau,pct_reduction
intercept,0.5,29043,0.0
st,0.5,25687,11.6
st_stm1,0.5,25681,11.6
st_absds1,0.5,24596,15.3
st_normdw1,0.5,24277,16.4
st_full_scalar,0.5,23718,18.3
st_full_vector,0.5,23596,18.7
full_vector_no_st,0.5,23839,17.9
intercept,0.75,31777,0.0
st,0.75,25451,19.9
st_stm1,0.75,25432,20.0
st_absds1,0.75,23659,25.8
st_normdw1,0.75,23042,27.5
st_full_scalar,0.75,22035,30.7
st_full_vector,0.75,21757,31.5
full_vector_no_st,0.75,22180,30.2
intercept,0.9,23325,0.0
st,0.9,17228,26.1
st_stm1,0.9,17196,26.3
st_absds1,0.9,15586,33.2
st_normdw1,0.9,14912,36.1
st_full_scalar,0.9,13878,40.5
st_full_vector,0.9,13517,42.0
full_vector_no_st,0.9,13877,40.5
