generator,run,regressors,tau,C_tau,pct_reduction
features,1,intercept,0.5,21394.74,
features,1,intercept,0.75,22965.87,
features,1,intercept,0.9,17056.78,
features,1,st,0.5,19482.94,8.9
features,1,st,0.75,19252.81,16.2
features,1,st,0.9,13075.1,23.3
features,1,st_stm1,0.5,19481.84,8.9
features,1,st_stm1,0.75,19252.73,16.2
features,1,st_stm1,0.9,13074.91,23.3
features,1,st_absds1,0.5,18826.43,12.0
features,1,st_absds1,0.75,18097.1,21.2
features,1,st_absds1,0.9,11922.69,30.1
features,1,st_normdw1,0.5,18595.07,13.1
features,1,st_normdw1,0.75,17620.39,23.3
features,1,st_normdw1,0.9,11357.06,33.4
features,1,st_full_scalar,0.5,18420.87,13.9
features,1,st_full_scalar,0.75,17293.3,24.7
features,1,st_full_scalar,0.9,10950.45,35.8
features,1,st_full_vector,0.5,18258.13,14.7
features,1,st_full_vector,0.75,16944.95,26.2
features,1,st_full_vector,0.9,10566.85,38.0
features,1,full_vector_no_st,0.5,18496.73,13.5
features,1,full_vector_no_st,0.75,17351.58,24.4
features,1,full_vector_no_st,0.9,10931.12,35.9
features,2,intercept,0.5,20689.94,
features,2,intercept,0.75,22208.95,
features,2,intercept,0.9,16551.4,
features,2,st,0.5,18868.62,8.8
features,2,st,0.75,18708.73,15.8
features,2,st,0.9,12767.94,22.9
features,2,st_stm1,0.5,18867.9,8.8
features,2,st_stm1,0.75,18708.49,15.8
features,2,st_stm1,0.9,12767.08,22.9
features,2,st_absds1,0.5,18217.43,12.0
features,2,st_absds1,0.75,17589.49,20.8
features,2,st_absds1,0.9,11635.63,29.7
features,2,st_normdw1,0.5,17966.4,13.2
features,2,st_normdw1,0.75,17050.63,23.2
features,2,st_normdw1,0.9,11015.23,33.4
features,2,st_full_scalar,0.5,17814.04,13.9
features,2,st_full_scalar,0.75,16812.17,24.3
features,2,st_full_scalar,0.9,10692.2,35.4
features,2,st_full_vector,0.5,17662.09,14.6
features,2,st_full_vector,0.75,16412.62,26.1
features,2,st_full_vector,0.9,10257.27,38.0
features,2,full_vector_no_st,0.5,17890.81,13.5
features,2,full_vector_no_st,0.75,16799.82,24.4
features,2,full_vector_no_st,0.9,10600.06,36.0
features,3,intercept,0.5,21567.23,
features,3,intercept,0.75,23104.11,
features,3,intercept,0.9,17111.7,
features,3,st,0.5,19685.79,8.7
features,3,st,0.75,19496.18,15.6
features,3,st,0.9,13327.21,22.1
features,3,st_stm1,0.5,19683.08,8.7
features,3,st_stm1,0.75,19494.27,15.6
features,3,st_stm1,0.9,13326.9,22.1
features,3,st_absds1,0.5,19038.41,11.7
features,3,st_absds1,0.75,18288.08,20.8
features,3,st_absds1,0.9,12097.12,29.3
features,3,st_normdw1,0.5,18769.07,13.0
features,3,st_normdw1,0.75,17765.74,23.1
features,3,st_normdw1,0.9,11476.87,32.9
features,3,st_full_scalar,0.5,18622.31,13.7
features,3,st_full_scalar,0.75,17455.18,24.4
features,3,st_full_scalar,0.9,11092.3,35.2
features,3,st_full_vector,0.5,18453.19,14.4
features,3,st_full_vector,0.75,17117.07,25.9
features,3,st_full_vector,0.9,10704.6,37.4
features,3,full_vector_no_st,0.5,18697.21,13.3
features,3,full_vector_no_st,0.75,17535.01,24.1
features,3,full_vector_no_st,0.9,11052.62,35.4
features,4,intercept,0.5,22028.95,
features,4,intercept,0.75,23695.28,
features,4,intercept,0.9,17614.36,
features,4,st,0.5,19952.74,9.4
features,4,st,0.75,19663.64,17.0
features,4,st,0.9,13293.43,24.5
features,4,st_stm1,0.5,19950.86,9.4
features,4,st_stm1,0.75,19663.4,17.0
features,4,st_stm1,0.9,13291.73,24.5
features,4,st_absds1,0.5,19307.24,12.4
features,4,st_absds1,0.75,18527.08,21.8
features,4,st_absds1,0.9,12164.68,30.9
features,4,st_normdw1,0.5,19077.56,13.4
features,4,st_normdw1,0.75,18074.05,23.7
features,4,st_normdw1,0.9,11647.61,33.9
features,4,st_full_scalar,0.5,18900.11,14.2
features,4,st_full_scalar,0.75,17697.5,25.3
features,4,st_full_scalar,0.9,11203.97,36.4
features,4,st_full_vector,0.5,18756.59,14.9
features,4,st_full_vector,0.75,17401.31,26.6
features,4,st_full_vector,0.9,10860.29,38.3
features,4,full_vector_no_st,0.5,19006.76,13.7
features,4,full_vector_no_st,0.75,17841.78,24.7
features,4,full_vector_no_st,0.9,11239.93,36.2
features,5,intercept,0.5,22219.4,
features,5,intercept,0.75,23863.87,
features,5,intercept,0.9,17676.48,
features,5,st,0.5,20185.12,9.2
features,5,st,0.75,19957.74,16.4
features,5,st,0.9,13589.38,23.1
features,5,st_stm1,0.5,20183.93,9.2
features,5,st_stm1,0.75,19957.68,16.4
features,5,st_stm1,0.9,13587.14,23.1
features,5,st_absds1,0.5,19540.61,12.1
features,5,st_absds1,0.75,18778.16,21.3
features,5,st_absds1,0.9,12382.49,29.9
features,5,st_normdw1,0.5,19268.28,13.3
features,5,st_normdw1,0.75,18262.7,23.5
features,5,st_normdw1,0.9,11784.22,33.3
features,5,st_full_scalar,0.5,19134.84,13.9
features,5,st_full_scalar,0.75,17946.68,24.8
features,5,st_full_scalar,0.9,11360.99,35.7
features,5,st_full_vector,0.5,18955.97,14.7
features,5,st_full_vector,0.75,17605.92,26.2
features,5,st_full_vector,0.9,10986.28,37.8
features,5,full_vector_no_st,0.5,19202.4,13.6
features,5,full_vector_no_st,0.75,18039.06,24.4
features,5,full_vector_no_st,0.9,11373.38,35.7
embedded,1,intercept,0.5,28417.74,
embedded,1,intercept,0.75,31615.44,
embedded,1,intercept,0.9,23909.47,
