"gap_group","start","end","missing_count","missing_hours","year","set"
1,1994-06-17 15:09:00,1994-06-17 16:10:00,62,1.03333333333333,1994,"Testing"
2,1994-06-30 13:55:00,1994-06-30 14:25:00,31,0.516666666666667,1994,"Other"
3,1995-06-02 20:53:00,1995-06-02 21:54:00,62,1.03333333333333,1995,"Testing"
4,1995-06-30 21:27:00,1995-06-30 21:27:00,1,0.0166666666666667,1995,"Other"
5,1997-06-05 20:30:00,1997-06-05 23:31:00,182,3.03333333333333,1997,"Testing"
6,1997-06-20 17:35:00,1997-06-20 17:35:00,1,0.0166666666666667,1997,"Testing"
7,1997-06-21,1997-06-21 23:59:00,1440,24,1997,"Testing"
8,1998-06-04 21:07:00,1998-06-04 21:07:00,1,0.0166666666666667,1998,"Training"
9,1999-06-03 19:20:00,1999-06-03 19:20:00,1,0.0166666666666667,1999,"Training"
10,1999-06-24 18:09:00,1999-06-24 19:00:00,52,0.866666666666667,1999,"Validation"
11,1999-07-01 18:40:00,1999-07-01 18:40:00,1,0.0166666666666667,1999,"Other"
12,2001-06-08 13:02:00,2001-06-11 23:59:00,4978,82.9666666666667,2001,"Training"
13,2001-06-14 20:30:00,2001-06-14 20:31:00,2,0.0333333333333333,2001,"Training"
14,2002-06-14 14:18:00,2002-06-14 14:33:00,16,0.266666666666667,2002,"Training"
15,2002-06-27 19:14:00,2002-06-27 19:18:00,5,0.0833333333333333,2002,"Validation"
16,2003-06-10 18:21:00,2003-06-10 18:22:00,2,0.0333333333333333,2003,"Training"
17,2004-06-10 19:28:00,2004-06-10 19:30:00,3,0.05,2004,"Training"
18,2004-06-24 19:49:00,2004-06-24 19:49:00,1,0.0166666666666667,2004,"Validation"
19,2005-06-11 05:08:00,2005-06-12 13:19:00,1932,32.2,2005,"Training"
20,2005-06-23 19:32:00,2005-06-23 19:33:00,2,0.0333333333333333,2005,"Validation"
21,2009-06-05 19:20:00,2009-06-05 19:30:00,11,0.183333333333333,2009,"Training"
22,2010-06-17 17:55:00,2010-06-17 17:55:00,1,0.0166666666666667,2010,"Training"
23,2011-06-02 18:52:00,2011-06-02 18:52:00,1,0.0166666666666667,2011,"Training"
24,2011-06-16 15:11:00,2011-06-17 21:13:00,1803,30.05,2011,"Training"
25,2012-06-06 14:15:00,2012-06-06 14:15:00,1,0.0166666666666667,2012,"Training"
26,2014-06-19 14:41:00,2014-06-19 14:41:00,1,0.0166666666666667,2014,"Training"
27,2014-06-30 18:39:00,2014-06-30 19:06:00,28,0.466666666666667,2014,"Validation"
28,2015-06-05 14:36:00,2015-06-05 14:37:00,2,0.0333333333333333,2015,"Training"
29,2015-06-18 19:00:00,2015-06-18 19:01:00,2,0.0333333333333333,2015,"Training"
30,2016-06-17 13:59:00,2016-06-17 13:59:00,1,0.0166666666666667,2016,"Training"
31,2016-06-30 19:09:00,2016-06-30 19:12:00,4,0.0666666666666667,2016,"Validation"
32,2017-06-15 14:05:00,2017-06-15 14:06:00,2,0.0333333333333333,2017,"Training"
33,2017-06-29 18:17:00,2017-06-29 18:19:00,3,0.05,2017,"Validation"
34,2018-06-21 05:19:00,2018-06-21 05:19:00,1,0.0166666666666667,2018,"Training"
35,2018-06-21 06:20:00,2018-06-21 13:15:00,416,6.93333333333333,2018,"Training"
36,2020-06-21 04:01:00,2020-06-21 04:01:00,1,0.0166666666666667,2020,"Training"
37,2021-06-07 09:01:00,2021-06-07 09:01:00,1,0.0166666666666667,2021,"Testing"
38,2021-06-23 01:01:00,2021-06-23 01:01:00,1,0.0166666666666667,2021,"Other"
