date,min_distance,closest_date,comparison,generator,synth_type
1998-06-01,143.7904288876409,2012-06-06,Train vs Train,Baseline,Baseline
1998-06-02,131.19384086917523,2003-06-03,Train vs Train,Baseline,Baseline
1998-06-03,176.19117389692093,1999-06-16,Train vs Train,Baseline,Baseline
1998-06-04,139.97028808253177,2000-06-05,Train vs Train,Baseline,Baseline
1998-06-05,125.44783345047892,1999-06-13,Train vs Train,Baseline,Baseline
1998-06-06,96.52776615556503,2009-06-04,Train vs Train,Baseline,Baseline
1998-06-07,88.45999248696954,2005-06-02,Train vs Train,Baseline,Baseline
1998-06-08,157.59673658033753,2019-06-14,Train vs Train,Baseline,Baseline
1998-06-09,124.03238458773149,2001-06-07,Train vs Train,Baseline,Baseline
1998-06-10,124.25617266146628,2016-06-08,Train vs Train,Baseline,Baseline
1998-06-11,172.68770006083466,2013-06-12,Train vs Train,Baseline,Baseline
1998-06-12,170.71242628549527,2010-06-02,Train vs Train,Baseline,Baseline
1998-06-13,129.3301078729579,2008-06-10,Train vs Train,Baseline,Baseline
1998-06-14,214.56733543569885,2011-06-21,Train vs Train,Baseline,Baseline
1998-06-15,127.80449003579218,2005-06-14,Train vs Train,Baseline,Baseline
1998-06-16,128.32899763546376,2019-06-20,Train vs Train,Baseline,Baseline
1998-06-17,128.52525956362774,2006-06-16,Train vs Train,Baseline,Baseline
1998-06-18,154.01333414270394,2011-06-14,Train vs Train,Baseline,Baseline
1998-06-19,120.96875934937972,2014-06-11,Train vs Train,Baseline,Baseline
1998-06-20,116.148086825261,2002-06-03,Train vs Train,Baseline,Baseline
1998-06-21,231.97894828116227,2007-06-15,Train vs Train,Baseline,Baseline
1999-06-01,201.79654942908863,2000-06-04,Train vs Train,Baseline,Baseline
1999-06-02,112.27000667746742,2003-06-05,Train vs Train,Baseline,Baseline
1999-06-03,150.75356079067728,2012-06-13,Train vs Train,Baseline,Baseline
1999-06-04,84.1484990043343,2017-06-10,Train vs Train,Baseline,Baseline
1999-06-05,89.18956521304419,2017-06-13,Train vs Train,Baseline,Baseline
1999-06-06,122.62291233884586,2000-06-01,Train vs Train,Baseline,Baseline
1999-06-07,123.04951069996443,2016-06-16,Train vs Train,Baseline,Baseline
1999-06-08,78.99699496398314,2010-06-20,Train vs Train,Baseline,Baseline
1999-06-09,130.8802475210326,2004-06-09,Train vs Train,Baseline,Baseline
1999-06-10,205.21055954569886,2019-06-02,Train vs Train,Baseline,Baseline
1999-06-11,130.82517283401685,2007-06-09,Train vs Train,Baseline,Baseline
1999-06-12,141.805715076766,2009-06-12,Train vs Train,Baseline,Baseline
1999-06-13,106.37019257201699,2013-06-06,Train vs Train,Baseline,Baseline
1999-06-14,121.04360039163997,1999-06-17,Train vs Train,Baseline,Baseline
1999-06-15,94.9941739121655,2003-06-01,Train vs Train,Baseline,Baseline
1999-06-16,139.84561927515227,2012-06-11,Train vs Train,Baseline,Baseline
1999-06-17,98.69112112434732,2014-06-08,Train vs Train,Baseline,Baseline
1999-06-18,103.41703396753161,2005-06-19,Train vs Train,Baseline,Baseline
1999-06-19,146.84717098294612,2020-06-08,Train vs Train,Baseline,Baseline
1999-06-20,105.06345895202944,2015-06-01,Train vs Train,Baseline,Baseline
1999-06-21,96.17663735140259,2010-06-04,Train vs Train,Baseline,Baseline
2000-06-01,112.60369728417824,2010-06-12,Train vs Train,Baseline,Baseline
2000-06-02,145.92162524226256,2010-06-06,Train vs Train,Baseline,Baseline
2000-06-03,107.18092593121129,2007-06-16,Train vs Train,Baseline,Baseline
2000-06-04,124.78252057486684,2009-06-11,Train vs Train,Baseline,Baseline
2000-06-05,129.38394325729897,1999-06-14,Train vs Train,Baseline,Baseline
2000-06-06,86.37341428158624,2008-06-14,Train vs Train,Baseline,Baseline
2000-06-07,76.26220156702281,2010-06-21,Train vs Train,Baseline,Baseline
2000-06-08,85.76387913418922,2020-06-14,Train vs Train,Baseline,Baseline
2000-06-09,87.52599524071263,2001-06-12,Train vs Train,Baseline,Baseline
2000-06-10,114.55234919700362,2018-06-15,Train vs Train,Baseline,Baseline
2000-06-11,119.97727079169964,2020-06-03,Train vs Train,Baseline,Baseline
2000-06-12,130.52479210397576,2004-06-12,Train vs Train,Baseline,Baseline
2000-06-13,137.6098536881145,2001-06-18,Train vs Train,Baseline,Baseline
2000-06-14,180.56818574909937,2018-06-20,Train vs Train,Baseline,Baseline
2000-06-15,113.69194269467674,2003-06-09,Train vs Train,Baseline,Baseline
2000-06-16,158.7176363270208,2012-06-11,Train vs Train,Baseline,Baseline
2000-06-17,148.781103627439,2004-06-19,Train vs Train,Baseline,Baseline
2000-06-18,100.38776082285688,2002-06-06,Train vs Train,Baseline,Baseline
2000-06-19,103.29356184120154,2013-06-08,Train vs Train,Baseline,Baseline
2000-06-20,119.47516347884456,2009-06-06,Train vs Train,Baseline,Baseline
2000-06-21,225.97429040344707,2007-06-19,Train vs Train,Baseline,Baseline
2001-06-01,129.39431686995485,2002-06-17,Train vs Train,Baseline,Baseline
2001-06-02,113.7168271120584,2013-06-13,Train vs Train,Baseline,Baseline
2001-06-03,184.19505837801205,1999-06-20,Train vs Train,Baseline,Baseline
2001-06-04,120.22633210237748,2010-06-21,Train vs Train,Baseline,Baseline
2001-06-05,133.90925974687775,2001-06-19,Train vs Train,Baseline,Baseline
2001-06-06,100.50954107326586,2016-06-17,Train vs Train,Baseline,Baseline
2001-06-07,86.15979812940165,2003-06-17,Train vs Train,Baseline,Baseline
2001-06-12,87.52599524071263,2000-06-09,Train vs Train,Baseline,Baseline
2001-06-13,135.44093231957598,2008-06-07,Train vs Train,Baseline,Baseline
2001-06-14,222.99709400870432,2010-06-02,Train vs Train,Baseline,Baseline
2001-06-15,130.558905952568,2007-06-05,Train vs Train,Baseline,Baseline
2001-06-16,87.9926461554498,2006-06-20,Train vs Train,Baseline,Baseline
2001-06-17,164.01596171848635,2004-06-10,Train vs Train,Baseline,Baseline
2001-06-18,90.4504869993139,2002-06-11,Train vs Train,Baseline,Baseline
2001-06-19,93.6492599025237,2018-06-11,Train vs Train,Baseline,Baseline
2001-06-20,140.72263157275532,2016-06-07,Train vs Train,Baseline,Baseline
