Date,Start Time,End Time,Minutes,All Suspect Vars Missing,Wind Speed Before Block (m/s),Wind Speed After Block (m/s)
1994-06-17,15:09,16:10,62,TRUE,8.930000305175781,9.710000038146973
1994-06-30,13:55,14:25,31,TRUE,4.23199987411499,4.296000003814697
1995-06-02,20:53,21:54,62,TRUE,1.1030000448226929,2.802999973297119
1997-06-05,20:30,23:31,182,TRUE,2.6029999256134033,5.581999778747559
1997-06-20,17:35,17:35,1,TRUE,10.779999732971191,10.890000343322754
1998-06-04,21:07,21:07,1,TRUE,0.6359999775886536,1.77400004863739
1999-06-03,19:20,19:20,1,TRUE,10.65999984741211,11.9399995803833
2001-06-14,20:30,20:31,2,TRUE,0.2450000047683716,1.0110000371932983
2002-06-14,14:18,14:33,16,TRUE,4.870999813079834,5.192999839782715
2002-06-27,19:14,19:18,5,TRUE,0.7649999856948853,4.9039998054504395
2003-06-10,18:21,18:22,2,TRUE,3.993000030517578,4.9730000495910645
2004-06-10,19:28,19:30,3,TRUE,9.199999809265137,8.510000228881836
2004-06-24,19:49,19:49,1,TRUE,2.497999906539917,2.1760001182556152
2005-06-23,19:32,19:33,2,TRUE,7.730000019073486,9.050000190734863
2007-06-02,04:47,04:48,2,FALSE,0.01099999994039535,0.32499998807907104
2007-06-03,03:30,03:32,3,FALSE,0.13899999856948853,0.2809999883174896
2007-06-09,00:16,00:17,2,FALSE,0.1080000028014183,0.0020000000949949
2007-06-09,13:20,13:23,4,FALSE,0.12399999797344208,0.1330000013113022
2007-06-09,13:56,13:56,1,FALSE,0.00300000002607703,0.2639999985694885
2007-06-11,06:03,06:09,7,FALSE,0.04600000008940697,0.09300000220537186
2007-06-14,16:10,16:11,2,FALSE,0.04199999943375587,0.0860000029206276
2007-06-20,12:51,12:54,4,FALSE,0.1720000058412552,0.19699999690055847
2007-06-21,16:02,16:02,1,FALSE,0.0020000000949949,0.5370000004768372
2007-06-22,09:30,09:30,1,FALSE,0.14399999380111694,0.00700000021606683
2007-06-23,12:06,12:06,1,FALSE,0.00300000002607703,0.02300000004470348
2007-06-24,12:57,12:58,2,FALSE,0.35199999809265137,0.16300000250339508
2007-06-24,13:02,13:02,1,FALSE,0.0020000000949949,0.0560000017285347
2007-06-24,13:05,13:06,2,FALSE,0.0689999982714653,0.1860000044107437
2007-06-24,13:15,13:15,1,FALSE,0.01499999966472387,0.1469999998807907
2007-06-24,13:22,13:22,1,FALSE,0.08900000154972076,0.0260000005364418
2007-06-24,13:24,13:25,2,FALSE,0.0260000005364418,0.16699999570846558
2007-06-24,13:42,13:42,1,FALSE,0.10300000011920928,0.0689999982714653
2007-06-28,02:39,02:45,7,FALSE,0.0020000000949949,0.2160000056028366
2007-06-28,02:58,03:00,3,FALSE,0.11400000005960464,0.1889999955892563
2008-06-09,07:05,07:05,1,FALSE,0.07800000160932541,0.656000018119812
2008-06-20,01:17,01:18,2,FALSE,0.30799999833106995,0.00300000002607703
2008-06-21,04:47,04:52,6,FALSE,0.09300000220537186,0.1340000033378601
2008-06-21,05:24,05:25,2,FALSE,0.09799999743700027,0.4670000076293946
2008-06-21,06:11,06:13,3,FALSE,0.07199999690055847,0.2939999997615814
2008-06-21,06:19,06:21,3,FALSE,0.10899999737739564,0.06499999761581421
2008-06-21,06:58,07:10,13,FALSE,0.02899999916553497,0.05400000140070915
2008-06-21,07:20,07:24,5,FALSE,0.01999999955296516,0.22499999403953552
2008-06-21,07:42,07:44,3,FALSE,0.00800000037997961,0.2930000126361847
2008-06-24,10:02,10:02,1,FALSE,0.0020000000949949,0.4880000054836273
2008-06-30,04:41,04:41,1,FALSE,0.13199999928474426,0.03299999982118606
2008-06-30,06:20,06:21,2,FALSE,0.5630000233650208,0.35899999737739563
2008-06-30,13:25,13:25,1,FALSE,0.10100000351667404,0.17599999904632568
2008-06-30,16:02,16:02,1,FALSE,0.27399998903274536,0.28600001335144043
2009-06-05,19:20,19:30,11,TRUE,5.210999965667725,8.220000267028809
2009-06-10,12:56,12:57,2,FALSE,0.32499998807907104,0.02899999916553497
2009-06-10,13:11,13:12,2,FALSE,0.01099999994039535,0.05900000035762787
